Artist ,Event Title,Event Date,Year,Country ,City,Genre(s),Notes/Highlights
Ez Rizer,Boxout Wednesdays 017,5th July,2017,India,Mumbai,"Bass, Footwork, Dubstep, UKG",
Seven Seven,Boxout Wednesdays 017,5th July,2017,India,New Delhi,"Hip-Hop, Funk, R&B, Disco",
Uday Kapur,Boxout Wednesdays 017,5th July,2017,India,New Delhi,"Hip-Hop, Future Beats, Trap, R&B",
Diggy Dang,Boxout Wednesdays 018,12th July,2017,India,New Delhi,"Reggae, Dancehall, Dub, Roots",
Ase,Boxout Wednesdays 018,12th July,2017,India ,New Delhi,"R&B, Hip-Hop, Future Beats, Dancehall",
Profound ,Boxout Wednesdays 019,19th July ,2017,India,New Delhi,"Drum and Bass, Jungle, Halftime, Neurofunk",
Midland Sparks,Boxout Wednesdays 019,19th July,2017,India,Pune,"Techno, House, Electro, Breaks",
BigFat,Boxout Wednesdays 020,26th July ,2017,India,Mumbai,"Hip-Hop, Trap, Grime, Bass",
DJ MoCity,Boxout Wednesdays 020,26th July ,2017,India,New Delhi,"House, Disco, Nu Disco, Deep House",
Stalvart John,Boxout Wednesdays 021,2nd Aug,2017,India ,Bengaluru,"Dubstep, Grime, Bass, UKG",
N*hilate,Boxout Wednesdays 021,2nd Aug,2017,India ,New Delhi,"Dubstep, Grime, Global Bass, UKG",
Nuphlo ,Boxout Wednesdays 022,9th Aug ,2017,UK,Leeds,"Drum and Bass, Jungle, Halftime, Neurofunk",
Komplex,Boxout Wednesdays 022,9th Aug,2017,USA,Richmond,"Techno, Electro, Leftfield Bass, Breaks",
dreamstates,Boxout Wednesdays 023,16th Aug,2017,India ,Mumbai,"Hip-Hop, Future Beats, R&B, Funk",
AGENT,Boxout Wednesdays 023,16th Aug,2017,India ,Goa,"UKG, Breaks, Dubstep, Grime",
rohan kale,Boxout Wednesdays 024,23rd Aug ,2017,India ,New Delhi,"Hip-Hop, R&B, Afro Electronic, Dancehall",
thegreybox,Boxout Wednesdays 024,23rd Aug,2017,India ,New Delhi,"Progressive House, Melodic Techno, Deep House, Electronica",
Neal_ess,Boxout Wednesdays 024,23rd Aug,2017,India ,New Delhi,"Drum and Bass, Jungle, Halftime, Breaks",
Vridian ,Boxout Wednesdays 025,30th Aug,2017,India ,New Delhi,"Dub Techno, Minimal, Ambient, Experimental",
frame/frame,Boxout Wednesdays 025,30th Aug,2017,India ,New Delhi,"Techno, Electro, EBM, Breaks",
Drum Attic,Boxout Wednesdays 025,30th Aug,2017,India ,Goa,"R&B, Hip-Hop, Future Beats, Trap",
Deadbeat ,Boxout Wednesdays 026,6th Sep,2017,Germany,Berlin,"Drum and Bass, Jungle, Halftime, Breaks",
FILM,Boxout Wednesdays 026,6th Sep,2017,India ,New Delhi,"Footwork, Drum and Bass, Hip-Hop, Turntablism",
2Sensitive ,Boxout Wednesdays 027,13th Sep,2017,India,Mumbai,"Hip-Hop, Turntablism, Trap, Bass",
Daisho,Boxout Wednesdays 027,13th Sep,2017,India,Bengaluru,"Electronica, Downtempo, Leftfield Bass, Ambient",
Jon1st,Boxout Wednesdays 028,20th Sep,2017,UK,Leicester,"Techno, House, Minimal, Electro",
DJ Skip,Boxout Wednesdays 028,20th Sep,2017,India ,New Delhi,"Future Beats, Hip-Hop, Leftfield Bass, UKG",
Sunara,Boxout Wednesdays 029,27th Sep,2017,Sri Lanka,Colombo,"Electronica, Downtempo, Leftfield Bass, Ambient",
Asvajit,Boxout Wednesdays 029,27th Sep,2017,Sri Lanka,Colombo,"Techno, House, Minimal, Electro",
Tim Parker,Boxout Wednesdays 030,4th Oct,2017,Netherlands,Amsterdam,"Future Beats, Hip-Hop, Leftfield Bass, UKG",
UP7T,Boxout Wednesdays 030,4th Oct,2017,India,New Delhi,"Grime, Dubstep, UKG, Breaks",
